"Downloaded on",03/19/2021,"13:51:33 EDT"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A%5B%22117%22%2C%22116%22%5D%2C%22bill-status%22%3A%22law%22%7D&searchResultViewType=expanded

"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"H.R. 5307",https://www.congress.gov/bill/116th-congress/house-bill/5307,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 115 Nicol Avenue in Thomasville, Alabama, as the ""Postmaster Robert Ingram Post Office"".","Rep. Sewell, Terri A. [D-AL-7]",12/05/2019,,,,6,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/17/2020,"Became Public Law No: 116-220."
"H.R. 5277",https://www.congress.gov/bill/116th-congress/house-bill/5277,"116th Congress (2019-2020)",,"To amend section 442 of title 18, United States Code, to exempt certain interests in mutual funds, unit investment trusts, employee benefit plans, and retirement plans from conflict of interest limitations for the Government Publishing Office.","Rep. Lofgren, Zoe [D-CA-19]",12/03/2019,,,,1,"House - Judiciary",12/05/2019,"Became Public Law No: 116-78."
"H.R. 5273",https://www.congress.gov/bill/116th-congress/house-bill/5273,"116th Congress (2019-2020)",,"Securing America's Ports Act","Rep. Torres Small, Xochitl [D-NM-2]",11/26/2019,,,,9,"House - Homeland Security | Senate - Homeland Security and Governmental Affairs",01/05/2021,"Became Public Law No: 116-299."
"H.R. 5214",https://www.congress.gov/bill/116th-congress/house-bill/5214,"116th Congress (2019-2020)",,"Representative Payee Fraud Prevention Act of 2019","Rep. Tlaib, Rashida [D-MI-13]",11/21/2019,,,,2,"House - Oversight and Reform",03/18/2020,"Became Public Law No: 116-126."
"H.R. 5126",https://www.congress.gov/bill/116th-congress/house-bill/5126,"116th Congress (2019-2020)",,"DESCEND Act of 2020","Rep. Graves, Garret [R-LA-6]",11/15/2019,,,,6,"House - Natural Resources | Senate - Commerce, Science, and Transportation",01/13/2021,"Became Public Law No: 116-340."
"H.R. 5123",https://www.congress.gov/bill/116th-congress/house-bill/5123,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 476 East Main Street in Galesburg, Illinois, as the ""Senior Airman Daniel Miller Post Office Building"".","Rep. Bustos, Cheri [D-IL-17]",11/15/2019,,,,17,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",01/05/2021,"Became Public Law No: 116-298."
"H.R. 5062",https://www.congress.gov/bill/116th-congress/house-bill/5062,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 9930 Conroy Windermere Road in Windermere, Florida, as the ""Officer Robert German Post Office Building"".","Rep. Demings, Val Butler [D-FL-10]",11/13/2019,,,,26,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/17/2020,"Became Public Law No: 116-219."
"H.R. 5037",https://www.congress.gov/bill/116th-congress/house-bill/5037,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 3703 North Main Street in Farmville, North Carolina, as the ""Walter B. Jones, Jr. Post Office"".","Rep. Murphy, Gregory [R-NC-3]",11/12/2019,,,,16,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/03/2020,"Became Public Law No: 116-203."
"H.R. 5023",https://www.congress.gov/bill/116th-congress/house-bill/5023,"116th Congress (2019-2020)",,"To name the Department of Veterans Affairs community-based outpatient clinic in Youngstown, Ohio, as the ""Carl Nunziato VA Clinic"".","Rep. Ryan, Tim [D-OH-13]",11/08/2019,,,,15,"House - Veterans' Affairs",01/05/2021,"Became Public Law No: 116-297."
"H.R. 4998",https://www.congress.gov/bill/116th-congress/house-bill/4998,"116th Congress (2019-2020)",,"Secure and Trusted Communications Networks Act of 2019","Rep. Pallone, Frank, Jr. [D-NJ-6]",11/08/2019,,,,3,"House - Energy and Commerce",03/12/2020,"Became Public Law No: 116-124."
"H.R. 4988",https://www.congress.gov/bill/116th-congress/house-bill/4988,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 14 Walnut Street in Bordentown, New Jersey, as the ""Clara Barton Post Office Building"".","Rep. Kim, Andy [D-NJ-3]",11/05/2019,,,,11,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",01/05/2021,"Became Public Law No: 116-296."
"H.R. 4983",https://www.congress.gov/bill/116th-congress/house-bill/4983,"116th Congress (2019-2020)",,"To designate the Department of Veterans Affairs community-based outpatient clinic in Gilbert, Arizona, as the ""Staff Sergeant Alexander W. Conrad Veterans Affairs Health Care Clinic"".","Rep. Biggs, Andy [R-AZ-5]",11/05/2019,,,,8,"House - Veterans' Affairs | Senate - Veterans' Affairs",01/05/2021,"Became Public Law No: 116-295."
"H.R. 4981",https://www.congress.gov/bill/116th-congress/house-bill/4981,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 2505 Derita Avenue in Charlotte, North Carolina, as the ""Julius L. Chambers Civil Rights Memorial Post Office"".","Rep. Adams, Alma S. [D-NC-12]",11/05/2019,,,,12,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/03/2020,"Became Public Law No: 116-202."
"H.R. 4975",https://www.congress.gov/bill/116th-congress/house-bill/4975,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 1201 Sycamore Square Drive in Midlothian, Virginia, as the ""Dorothy Braden Bruce Post Office Building"".","Rep. Spanberger, Abigail Davis [D-VA-7]",11/01/2019,,,,10,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/17/2020,"Became Public Law No: 116-218."
"H.R. 4971",https://www.congress.gov/bill/116th-congress/house-bill/4971,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 15 East Market Street in Leesburg, Virginia, as the ""Norman Duncan Post Office Building"".","Rep. Wexton, Jennifer [D-VA-10]",10/31/2019,,,,10,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/21/2020,"Became Public Law No: 116-242."
"H.R. 4920",https://www.congress.gov/bill/116th-congress/house-bill/4920,"116th Congress (2019-2020)",,"Department of Veterans Affairs Contracting Preference Consistency Act of 2020","Rep. Takano, Mark [D-CA-41]",10/30/2019,,,,18,"House - Veterans' Affairs | Senate - Veterans' Affairs",08/08/2020,"Became Public Law No: 116-155."
"H.R. 4875",https://www.congress.gov/bill/116th-congress/house-bill/4875,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 2201 E. Maple Street in North Canton, Ohio, as the ""Lance Cpl. Stacy 'Annie' Dryden Post Office"".","Rep. Gonzalez, Anthony [R-OH-16]",10/28/2019,,,,15,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/21/2020,"Became Public Law No: 116-241."
"H.R. 4803",https://www.congress.gov/bill/116th-congress/house-bill/4803,"116th Congress (2019-2020)",,"Citizenship for Children of Military Members and Civil Servants Act","Rep. Nadler, Jerrold [D-NY-10]",10/23/2019,,,,13,"House - Judiciary | Senate - Judiciary",03/26/2020,"Became Public Law No: 116-133."
"H.R. 4794",https://www.congress.gov/bill/116th-congress/house-bill/4794,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 8320 13th Avenue in Brooklyn, New York, as the ""Mother Frances Xavier Cabrini Post Office Building"".","Rep. Rose, Max [D-NY-11]",10/22/2019,,,,26,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/03/2020,"Became Public Law No: 116-201."
"H.R. 4785",https://www.congress.gov/bill/116th-congress/house-bill/4785,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 1305 U.S. Highway 90 West in Castroville, Texas, as the ""Lance Corporal Rhonald Dain Rairdan Post Office"".","Rep. Hurd, Will [R-TX-23]",10/22/2019,,,,35,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/21/2020,"Became Public Law No: 116-240."
"H.R. 4779",https://www.congress.gov/bill/116th-congress/house-bill/4779,"116th Congress (2019-2020)",,"To extend the Undertaking Spam, Spyware, And Fraud Enforcement With Enforcers beyond Borders Act of 2006, and for other purposes.","Rep. McMorris Rodgers, Cathy [R-WA-5]",10/22/2019,,,,6,"House - Energy and Commerce | Senate - Commerce, Science, and Transportation",10/20/2020,"Became Public Law No: 116-173."
"H.R. 4771",https://www.congress.gov/bill/116th-congress/house-bill/4771,"116th Congress (2019-2020)",,"VA Tele-Hearing Modernization Act","Rep. Cunningham, Joe [D-SC-1]",10/21/2019,,,,1,"House - Veterans' Affairs | Senate - Veterans' Affairs",04/10/2020,"Became Public Law No: 116-137."
"H.R. 4761",https://www.congress.gov/bill/116th-congress/house-bill/4761,"116th Congress (2019-2020)",,"DHS Opioid Detection Resilience Act of 2019","Rep. Higgins, Clay [R-LA-3]",10/18/2019,,,,8,"House - Homeland Security, Ways and Means | Senate - Homeland Security and Governmental Affairs",12/23/2020,"Became Public Law No: 116-254."
"H.R. 4734",https://www.congress.gov/bill/116th-congress/house-bill/4734,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 171 South Maple Street in Dana, Indiana, as the ""Ernest 'Ernie' T. Pyle Post Office"".","Rep. Bucshon, Larry [R-IN-8]",10/18/2019,,,,8,"House - Oversight and Reform",12/03/2020,"Became Public Law No: 116-200."
"H.R. 4725",https://www.congress.gov/bill/116th-congress/house-bill/4725,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 8585 Criterion Drive in Colorado Springs, Colorado, as the ""Chaplain (Capt.) Dale Goetz Memorial Post Office Building"".","Rep. Lamborn, Doug [R-CO-5]",10/17/2019,,,,6,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/21/2020,"Became Public Law No: 116-239."
"H.R. 4704",https://www.congress.gov/bill/116th-congress/house-bill/4704,"116th Congress (2019-2020)",,"Advancing Research to Prevent Suicide Act","Rep. McAdams, Ben [D-UT-4]",10/16/2019,,,,16,"House - Science, Space, and Technology | Senate - Commerce, Science, and Transportation",01/13/2021,"Became Public Law No: 116-339."
