"Downloaded on",03/19/2021,"13:51:33 EDT"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A%5B%22117%22%2C%22116%22%5D%2C%22bill-status%22%3A%22law%22%7D&searchResultViewType=expanded

"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"H.R. 1773",https://www.congress.gov/bill/116th-congress/house-bill/1773,"116th Congress (2019-2020)",,"Rosie the Riveter Congressional Gold Medal Act of 2019","Rep. Speier, Jackie [D-CA-14]",03/14/2019,,,,293,"House - Financial Services, House Administration | Senate - Banking, Housing, and Urban Affairs",12/03/2020,"Became Public Law No: 116-195."
"H.R. 1668",https://www.congress.gov/bill/116th-congress/house-bill/1668,"116th Congress (2019-2020)",,"IoT Cybersecurity Improvement Act of 2020","Rep. Kelly, Robin L. [D-IL-2]",03/11/2019,,,,26,"House - Oversight and Reform, Science, Space, and Technology",12/04/2020,"Became Public Law No: 116-207."
"H.R. 1590",https://www.congress.gov/bill/116th-congress/house-bill/1590,"116th Congress (2019-2020)",,"Terrorist and Foreign Fighter Travel Exercise Act of 2019","Rep. Guest, Michael [R-MS-3]",03/07/2019,,,,6,"House - Homeland Security | Senate - Homeland Security and Governmental Affairs",10/09/2019,"Became Public Law No: 116-64."
"H.R. 1569",https://www.congress.gov/bill/116th-congress/house-bill/1569,"116th Congress (2019-2020)",,"To amend title 28, United States Code, to add Flagstaff and Yuma to the list of locations in which court shall be held in the judicial district for the State of Arizona.","Rep. O'Halleran, Tom [D-AZ-1]",03/06/2019,,,,8,"House - Judiciary",08/09/2019,"Became Public Law No: 116-40."
"H.R. 1526",https://www.congress.gov/bill/116th-congress/house-bill/1526,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 200 Israel Road Southeast in Tumwater, Washington, as the ""Eva G. Hewitt Post Office"".","Rep. Heck, Denny [D-WA-10]",03/05/2019,,,,9,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/12/2019,"Became Public Law No: 116-82."
"H.R. 1520",https://www.congress.gov/bill/116th-congress/house-bill/1520,"116th Congress (2019-2020)",,"Further Extension of Continuing Appropriations Act, 2021","Rep. Eshoo, Anna G. [D-CA-18]",03/05/2019,,,,12,"House - Energy and Commerce | Senate - Health, Education, Labor, and Pensions",12/22/2020,"Became Public Law No: 116-246."
"H.R. 1503",https://www.congress.gov/bill/116th-congress/house-bill/1503,"116th Congress (2019-2020)",,"Orange Book Transparency Act of 2020","Rep. Kelly, Robin L. [D-IL-2]",03/05/2019,,,,13,"House - Energy and Commerce | Senate - Health, Education, Labor, and Pensions",01/05/2021,"Became Public Law No: 116-290."
"H.R. 1492",https://www.congress.gov/bill/116th-congress/house-bill/1492,"116th Congress (2019-2020)",,"Yucca House National Monument Expansion Act","Rep. Tipton, Scott  R. [R-CO-3]",03/04/2019,,,,0,"House - Natural Resources",01/13/2021,"Became Public Law No: 116-329."
"H.R. 1472",https://www.congress.gov/bill/116th-congress/house-bill/1472,"116th Congress (2019-2020)",,"To rename the Homestead National Monument of America near Beatrice, Nebraska, as the Homestead National Historical Park.","Rep. Smith, Adrian [R-NE-3]",02/28/2019,,,,2,"House - Natural Resources | Senate - Energy and Natural Resources",01/13/2021,"Became Public Law No: 116-328."
"H.R. 1449",https://www.congress.gov/bill/116th-congress/house-bill/1449,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 3033 203rd Street in Olympia Fields, Illinois, as the ""Captain Robert L. Martin Post Office"".","Rep. Kelly, Robin L. [D-IL-2]",02/28/2019,,,,18,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",08/21/2019,"Became Public Law No: 116-46."
"H.R. 1424",https://www.congress.gov/bill/116th-congress/house-bill/1424,"116th Congress (2019-2020)",,"Fallen Warrior Battlefield Cross Memorial Act","Rep. Gonzalez, Anthony [R-OH-16]",02/28/2019,,,,28,"House - Veterans' Affairs | Senate - Veterans' Affairs",01/07/2020,"Became Public Law No: 116-106."
"H.R. 1418",https://www.congress.gov/bill/116th-congress/house-bill/1418,"116th Congress (2019-2020)",,"Competitive Health Insurance Reform Act of 2020","Rep. DeFazio, Peter A. [D-OR-4]",02/28/2019,,,,51,"House - Judiciary | Senate - Judiciary",01/13/2021,"Became Public Law No: 116-327."
"H.R. 1396",https://www.congress.gov/bill/116th-congress/house-bill/1396,"116th Congress (2019-2020)",,"Hidden Figures Congressional Gold Medal Act","Rep. Johnson, Eddie Bernice [D-TX-30]",02/27/2019,,,,314,"House - Financial Services, House Administration",11/08/2019,"Became Public Law No: 116-68."
"H.R. 1365",https://www.congress.gov/bill/116th-congress/house-bill/1365,"116th Congress (2019-2020)",,"To make technical corrections to the Guam World War II Loyalty Recognition Act.","Rep. San Nicolas, Michael F. Q. [D-GU-At Large]",02/26/2019,,,,6,"House - Natural Resources | Senate - Judiciary",03/26/2020,"Became Public Law No: 116-132."
"H.R. 1327",https://www.congress.gov/bill/116th-congress/house-bill/1327,"116th Congress (2019-2020)",,"Never Forget the Heroes: James Zadroga, Ray Pfeifer, and Luis Alvarez Permanent Authorization of the September 11th Victim Compensation Fund Act","Rep. Maloney, Carolyn B. [D-NY-12]",02/25/2019,,,,332,"House - Judiciary",07/29/2019,"Became Public Law No: 116-34."
"H.R. 1253",https://www.congress.gov/bill/116th-congress/house-bill/1253,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 13507 Van Nuys Boulevard in Pacoima, California, as the ""Ritchie Valens Post Office Building"".","Rep. Cardenas, Tony [D-CA-29]",02/14/2019,,,,50,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/12/2019,"Became Public Law No: 116-81."
"H.R. 1252",https://www.congress.gov/bill/116th-congress/house-bill/1252,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 6531 Van Nuys Boulevard in Van Nuys, California, as the ""Marilyn Monroe Post Office"".","Rep. Cardenas, Tony [D-CA-29]",02/14/2019,,,,50,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/12/2019,"Became Public Law No: 116-80."
"H.R. 1250",https://www.congress.gov/bill/116th-congress/house-bill/1250,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 11158 Highway 146 North in Hardin, Texas, as the ""Lucas Lowe Memorial Post Office"".","Rep. Babin, Brian [R-TX-36]",02/14/2019,,,,35,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",08/23/2019,"Became Public Law No: 116-55."
"H.R. 1240",https://www.congress.gov/bill/116th-congress/house-bill/1240,"116th Congress (2019-2020)",,"Young Fishermen's Development Act","Rep. Young, Don [R-AK-At Large]",02/14/2019,,,,12,"House - Natural Resources",01/05/2021,"Became Public Law No: 116-289."
"H.R. 1222",https://www.congress.gov/bill/116th-congress/house-bill/1222,"116th Congress (2019-2020)",,"Target Practice and Marksmanship Training Support Act","Rep. Kind, Ron [D-WI-3]",02/14/2019,,,,18,"House - Natural Resources",05/10/2019,"Became Public Law No: 116-17."
"H.R. 1200",https://www.congress.gov/bill/116th-congress/house-bill/1200,"116th Congress (2019-2020)",,"Veterans' Compensation Cost-of-Living Adjustment Act of 2019","Rep. Luria, Elaine G. [D-VA-2]",02/13/2019,,,,14,"House - Veterans' Affairs",09/26/2019,"Became Public Law No: 116-58."
"H.R. 1198",https://www.congress.gov/bill/116th-congress/house-bill/1198,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 404 South Boulder Highway in Henderson, Nevada, as the ""Henderson Veterans Memorial Post Office Building"".","Rep. Lee, Susie [D-NV-3]",02/13/2019,,,,4,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",08/21/2019,"Became Public Law No: 116-45."
"H.R. 1158",https://www.congress.gov/bill/116th-congress/house-bill/1158,"116th Congress (2019-2020)",,"Consolidated Appropriations Act, 2020","Rep. McCaul, Michael T. [R-TX-10]",02/13/2019,,,,4,"House - Homeland Security",12/20/2019,"Became Public Law No: 116-93."
"H.R. 1138",https://www.congress.gov/bill/116th-congress/house-bill/1138,"116th Congress (2019-2020)",,"To reauthorize the West Valley demonstration project, and for other purposes.","Rep. Reed, Tom [R-NY-23]",02/11/2019,,,,1,"House - Energy and Commerce | Senate - Energy and Natural Resources",12/20/2019,"Became Public Law No: 116-95."
"H.R. 1123",https://www.congress.gov/bill/116th-congress/house-bill/1123,"116th Congress (2019-2020)",,"Divisional Realignment for the Eastern District of Arkansas Act of 2019","Rep. Crawford, Eric A. ""Rick"" [R-AR-1]",02/08/2019,,,,4,"House - Judiciary | Senate - Judiciary",11/26/2019,"Became Public Law No: 116-73."
"H.R. 1079",https://www.congress.gov/bill/116th-congress/house-bill/1079,"116th Congress (2019-2020)",,"Creating Advanced Streamlined Electronic Services for Constituents Act of 2019","Rep. Graves, Garret [R-LA-6]",02/07/2019,,,,3,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",08/22/2019,"Became Public Law No: 116-50."
"H.R. 1058",https://www.congress.gov/bill/116th-congress/house-bill/1058,"116th Congress (2019-2020)",,"Autism Collaboration, Accountability, Research, Education, and Support Act of 2019","Rep. Smith, Christopher H. [R-NJ-4]",02/07/2019,,,,173,"House - Energy and Commerce",09/30/2019,"Became Public Law No: 116-60."
"H.R. 991",https://www.congress.gov/bill/116th-congress/house-bill/991,"116th Congress (2019-2020)",,"Extension of the Caribbean Basin Economic Recovery Act","Rep. Sewell, Terri A. [D-AL-7]",02/06/2019,,,,26,"House - Ways and Means | Senate - Finance",10/10/2020,"Became Public Law No: 116-164."
"H.R. 943",https://www.congress.gov/bill/116th-congress/house-bill/943,"116th Congress (2019-2020)",,"Never Again Education Act","Rep. Maloney, Carolyn B. [D-NY-12]",01/31/2019,,,,302,"House - Education and Labor | Senate - Energy and Natural Resources",05/29/2020,"Became Public Law No: 116-141."
"H.R. 887",https://www.congress.gov/bill/116th-congress/house-bill/887,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 877 East 1200 South in Orem, Utah, as the ""Jerry C. Washburn Post Office Building"".","Rep. Curtis, John R. [R-UT-3]",01/30/2019,,,,3,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/12/2019,"Became Public Law No: 116-79."
"H.R. 886",https://www.congress.gov/bill/116th-congress/house-bill/886,"116th Congress (2019-2020)",,"Veteran Treatment Court Coordination Act of 2019","Rep. Crist, Charlie [D-FL-13]",01/30/2019,,,,135,"House - Judiciary | Senate - Judiciary",08/08/2020,"Became Public Law No: 116-153."
"H.R. 866",https://www.congress.gov/bill/116th-congress/house-bill/866,"116th Congress (2019-2020)",,"Fairness For Breastfeeding Mothers Act of 2019","Rep. Norton, Eleanor Holmes [D-DC-At Large]",01/30/2019,,,,4,"House - Transportation and Infrastructure | Senate - Environment and Public Works",07/25/2019,"Became Public Law No: 116-30."
"H.R. 835",https://www.congress.gov/bill/116th-congress/house-bill/835,"116th Congress (2019-2020)",,"Rodchenkov Anti-Doping Act of 2019","Rep. Jackson Lee, Sheila [D-TX-18]",01/29/2019,,,,28,"House - Judiciary, Energy and Commerce | Senate - Commerce, Science, and Transportation",12/04/2020,"Became Public Law No: 116-206."
"H.R. 831",https://www.congress.gov/bill/116th-congress/house-bill/831,"116th Congress (2019-2020)",,"Reviving America's Scenic Byways Act of 2019","Rep. Cicilline, David N. [D-RI-1]",01/29/2019,,,,3,"House - Transportation and Infrastructure | Senate - Environment and Public Works",09/22/2019,"Became Public Law No: 116-57."
"H.R. 829",https://www.congress.gov/bill/116th-congress/house-bill/829,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 1450 Montauk Highway in Mastic, New York, as the ""Army Specialist Thomas J. Wilwerth Post Office Building"".","Rep. Zeldin, Lee M. [R-NY-1]",01/28/2019,,,,26,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",08/21/2019,"Became Public Law No: 116-44."
"H.R. 828",https://www.congress.gov/bill/116th-congress/house-bill/828,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 25 Route 111 in Smithtown, New York, as the ""Congressman Bill Carney Post Office"".","Rep. Zeldin, Lee M. [R-NY-1]",01/28/2019,,,,26,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",08/21/2019,"Became Public Law No: 116-43."
"H.R. 777",https://www.congress.gov/bill/116th-congress/house-bill/777,"116th Congress (2019-2020)",,"Debbie Smith Reauthorization Act of 2019","Rep. Maloney, Carolyn B. [D-NY-12]",01/24/2019,,,,24,"House - Judiciary",12/30/2019,"Became Public Law No: 116-104."
"H.R. 776",https://www.congress.gov/bill/116th-congress/house-bill/776,"116th Congress (2019-2020)",,"Emergency Medical Services for Children Program Reauthorization Act of 2019","Rep. King, Peter T. [R-NY-2]",01/24/2019,,,,19,"House - Energy and Commerce",08/22/2019,"Became Public Law No: 116-49."
"H.R. 748",https://www.congress.gov/bill/116th-congress/house-bill/748,"116th Congress (2019-2020)",,"CARES Act","Rep. Courtney, Joe [D-CT-2]",01/24/2019,,,,369,"House - Ways and Means",03/27/2020,"Became Public Law No: 116-136."
"H.R. 724",https://www.congress.gov/bill/116th-congress/house-bill/724,"116th Congress (2019-2020)",,"Preventing Animal Cruelty and Torture Act","Rep. Deutch, Theodore E. [D-FL-22]",01/23/2019,,,,301,"House - Judiciary | Senate - Judiciary",11/25/2019,"Became Public Law No: 116-72."
"H.R. 639",https://www.congress.gov/bill/116th-congress/house-bill/639,"116th Congress (2019-2020)",,"To amend section 327 of the Robert T. Stafford Disaster Relief and Emergency Assistance Act to clarify that National Urban Search and Rescue Response System task forces may include Federal employees.","Rep. Hartzler, Vicky [R-MO-4]",01/17/2019,,,,2,"House - Transportation and Infrastructure | Senate - Homeland Security and Governmental Affairs",08/22/2019,"Became Public Law No: 116-48."
"H.R. 583",https://www.congress.gov/bill/116th-congress/house-bill/583,"116th Congress (2019-2020)",,"Preventing Illegal Radio Abuse Through Enforcement Act","Rep. Tonko, Paul [D-NY-20]",01/16/2019,,,,9,"House - Energy and Commerce | Senate - Commerce, Science, and Transportation",01/24/2020,"Became Public Law No: 116-109."
"H.R. 561",https://www.congress.gov/bill/116th-congress/house-bill/561,"116th Congress (2019-2020)",,"Protecting Business Opportunities for Veterans Act of 2019","Rep. Bergman, Jack [R-MI-1]",01/15/2019,,,,20,"House - Veterans' Affairs | Senate - Veterans' Affairs",10/30/2020,"Became Public Law No: 116-183."
"H.R. 559",https://www.congress.gov/bill/116th-congress/house-bill/559,"116th Congress (2019-2020)",,"Northern Mariana Islands Long-Term Legal Residents Relief Act","Rep. Sablan, Gregorio Kilili Camacho [D-MP-At Large]",01/15/2019,,,,2,"House - Natural Resources, Judiciary",06/25/2019,"Became Public Law No: 116-24."
"H.R. 540",https://www.congress.gov/bill/116th-congress/house-bill/540,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 770 Ayrault Road in Fairport, New York, as the ""Louise and Bob Slaughter Post Office"".","Rep. Morelle, Joseph D. [D-NY-25]",01/14/2019,,,,78,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",08/21/2019,"Became Public Law No: 116-42."
"H.R. 504",https://www.congress.gov/bill/116th-congress/house-bill/504,"116th Congress (2019-2020)",,"DHS Field Engagement Accountability Act","Rep. Bacon, Don [R-NE-2]",01/11/2019,,,,15,"House - Homeland Security | Senate - Homeland Security and Governmental Affairs",03/02/2020,"Became Public Law No: 116-116."
"H.R. 473",https://www.congress.gov/bill/116th-congress/house-bill/473,"116th Congress (2019-2020)",,"To authorize the Every Word We Utter Monument to establish a commemorative work in the District of Columbia and its environs, and for other purposes.","Rep. Neguse, Joe [D-CO-2]",01/10/2019,,,,31,"House - Natural Resources | Senate - Energy and Natural Resources",12/17/2020,"Became Public Law No: 116-217."
"H.R. 439",https://www.congress.gov/bill/116th-congress/house-bill/439,"116th Congress (2019-2020)",,"National FFA Organization's Federal Charter Amendments Act","Rep. Langevin, James R. [D-RI-2]",01/10/2019,,,,5,"House - Judiciary | Senate - Judiciary",02/21/2019,"Became Public Law No: 116-7."
"H.R. 434",https://www.congress.gov/bill/116th-congress/house-bill/434,"116th Congress (2019-2020)",,"Emancipation National Historic Trail Study Act","Rep. Jackson Lee, Sheila [D-TX-18]",01/10/2019,,,,55,"House - Natural Resources | Senate - Energy and Natural Resources",01/27/2020,"Became Public Law No: 116-111."
"H.R. 430",https://www.congress.gov/bill/116th-congress/house-bill/430,"116th Congress (2019-2020)",,"TANF Extension Act of 2019","Rep. Neal, Richard E. [D-MA-1]",01/10/2019,,,,1,"House - Ways and Means",01/24/2019,"Became Public Law No: 116-4."
"H.R. 299",https://www.congress.gov/bill/116th-congress/house-bill/299,"116th Congress (2019-2020)",,"Blue Water Navy Vietnam Veterans Act of 2019","Rep. Takano, Mark [D-CA-41]",01/08/2019,,,,333,"House - Veterans' Affairs",06/25/2019,"Became Public Law No: 116-23."
"H.R. 276",https://www.congress.gov/bill/116th-congress/house-bill/276,"116th Congress (2019-2020)",,"Recognizing Achievement in Classified School Employees Act","Rep. Titus, Dina [D-NV-1]",01/08/2019,,,,57,"House - Education and Labor | Senate - Health, Education, Labor, and Pensions",04/12/2019,"Became Public Law No: 116-13."
"H.R. 266",https://www.congress.gov/bill/116th-congress/house-bill/266,"116th Congress (2019-2020)",,"Paycheck Protection Program and Health Care Enhancement Act","Rep. McCollum, Betty [D-MN-4]",01/08/2019,,,,0,"House - Appropriations",04/24/2020,"Became Public Law No: 116-139."
"H.R. 263",https://www.congress.gov/bill/116th-congress/house-bill/263,"116th Congress (2019-2020)",,"To rename the Oyster Bay National Wildlife Refuge as the Congressman Lester Wolff Oyster Bay National Wildlife Refuge.","Rep. Suozzi, Thomas R. [D-NY-3]",01/04/2019,,,,26,"House - Natural Resources | Senate - Environment and Public Works",01/27/2020,"Became Public Law No: 116-110."
"H.R. 259",https://www.congress.gov/bill/116th-congress/house-bill/259,"116th Congress (2019-2020)",,"Medicaid Extenders Act of 2019","Rep. Pallone, Frank, Jr. [D-NJ-6]",01/04/2019,,,,1,"House - Energy and Commerce, Budget",01/24/2019,"Became Public Law No: 116-3."
"H.R. 251",https://www.congress.gov/bill/116th-congress/house-bill/251,"116th Congress (2019-2020)",,"Chemical Facility Anti-Terrorism Standards Program Extension Act","Rep. Thompson, Bennie G. [D-MS-2]",01/04/2019,,,,7,"House - Homeland Security, Energy and Commerce",01/18/2019,"Became Public Law No: 116-2."
"H.R. 221",https://www.congress.gov/bill/116th-congress/house-bill/221,"116th Congress (2019-2020)",,"Special Envoy to Monitor and Combat Anti-Semitism Act","Rep. Smith, Christopher H. [R-NJ-4]",01/03/2019,,,,87,"House - Foreign Affairs | Senate - Foreign Relations",01/13/2021,"Became Public Law No: 116-326."
"H.R. 150",https://www.congress.gov/bill/116th-congress/house-bill/150,"116th Congress (2019-2020)",,"Grant Reporting Efficiency and Agreements Transparency Act of 2019","Rep. Foxx, Virginia [R-NC-5]",01/03/2019,,,,15,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/30/2019,"Became Public Law No: 116-103."
"H.R. 133",https://www.congress.gov/bill/116th-congress/house-bill/133,"116th Congress (2019-2020)",,"Consolidated Appropriations Act, 2021","Rep. Cuellar, Henry [D-TX-28]",01/03/2019,,,,4,"House - Foreign Affairs | Senate - Foreign Relations",12/27/2020,"Became Public Law No: 116-260."
"H.J.Res. 110",https://www.congress.gov/bill/116th-congress/house-joint-resolution/110,"116th Congress (2019-2020)",,"Extension of Continuing Appropriations Act, 2021","Rep. Lowey, Nita M. [D-NY-17]",12/20/2020,,,,0,"House - Appropriations",12/20/2020,"Became Public Law No: 116-226."
"H.J.Res. 107",https://www.congress.gov/bill/116th-congress/house-joint-resolution/107,"116th Congress (2019-2020)",,"Further Additional Continuing Appropriations Act, 2021","Rep. Lowey, Nita M. [D-NY-17]",12/18/2020,,,,0,"House - Appropriations",12/18/2020,"Became Public Law No: 116-225."
"H.J.Res. 88",https://www.congress.gov/bill/116th-congress/house-joint-resolution/88,"116th Congress (2019-2020)",,"Providing for the appointment of Franklin D. Raines as a citizen regent of the Board of Regents of the Smithsonian Institution.","Rep. Matsui, Doris O. [D-CA-6]",05/05/2020,,,,2,"House - House Administration",10/02/2020,"Became Public Law No: 116-163."
"H.J.Res. 87",https://www.congress.gov/bill/116th-congress/house-joint-resolution/87,"116th Congress (2019-2020)",,"Providing for the reappointment of Michael M. Lynton as a citizen regent of the Board of Regents of the Smithsonian Institution.","Rep. Matsui, Doris O. [D-CA-6]",05/05/2020,,,,2,"House - House Administration",10/02/2020,"Became Public Law No: 116-162."
"H.J.Res. 80",https://www.congress.gov/bill/116th-congress/house-joint-resolution/80,"116th Congress (2019-2020)",,"Approving the request of the Secretary of Veterans Affairs for a waiver under section 1703E(f) of title 38, United States Code.","Rep. Roe, David P. [R-TN-1]",12/11/2019,,,,0,"House - Veterans' Affairs | Senate - Veterans' Affairs",03/03/2020,"Became Public Law No: 116-120."
"H.J.Res. 60",https://www.congress.gov/bill/116th-congress/house-joint-resolution/60,"116th Congress (2019-2020)",,"Requesting the Secretary of the Interior to authorize unique and one-time arrangements for displays on the National Mall and the Washington Monument during the period beginning on July 16, 2019 and ending on July 20, 2019.","Rep. Matsui, Doris O. [D-CA-6]",06/10/2019,,,,2,"House - Natural Resources",07/05/2019,"Became Public Law No: 116-28."
"H.J.Res. 31",https://www.congress.gov/bill/116th-congress/house-joint-resolution/31,"116th Congress (2019-2020)",,"Consolidated Appropriations Act, 2019","Rep. Roybal-Allard, Lucille [D-CA-40]",01/22/2019,,,,0,"House - Appropriations",02/15/2019,"Became Public Law No: 116-6."
"H.J.Res. 28",https://www.congress.gov/bill/116th-congress/house-joint-resolution/28,"116th Congress (2019-2020)",,"Further Additional Continuing Appropriations Act, 2019","Rep. Lowey, Nita M. [D-NY-17]",01/14/2019,,,,0,"House - Appropriations",01/25/2019,"Became Public Law No: 116-5."
"S. 5076",https://www.congress.gov/bill/116th-congress/senate-bill/5076,"116th Congress (2019-2020)",,"A bill to authorize the Sergeant at Arms and Doorkeeper of the Senate to delegate authority to approve payroll and personnel actions.","Sen. Blunt, Roy [R-MO]",12/20/2020,,,,0,,01/13/2021,"Became Public Law No: 116-344."
"S. 5036",https://www.congress.gov/bill/116th-congress/senate-bill/5036,"116th Congress (2019-2020)",,"Secret Service Overtime Pay Extension Act","Sen. Graham, Lindsey [R-SC]",12/16/2020,,,,0,,12/30/2020,"Became Public Law No: 116-269."
"S. 4996",https://www.congress.gov/bill/116th-congress/senate-bill/4996,"116th Congress (2019-2020)",,"Bankruptcy Administration Improvement Act of 2020","Sen. Graham, Lindsey [R-SC]",12/09/2020,,,,5,,01/12/2021,"Became Public Law No: 116-325."
"S. 4902",https://www.congress.gov/bill/116th-congress/senate-bill/4902,"116th Congress (2019-2020)",,"A bill to designate the United States courthouse located at 351 South West Temple in Salt Lake City, Utah, as the ""Orrin G. Hatch United States Courthouse"".","Sen. Lee, Mike [R-UT]",11/17/2020,,,,2,,12/21/2020,"Became Public Law No: 116-245."
"S. 4762",https://www.congress.gov/bill/116th-congress/senate-bill/4762,"116th Congress (2019-2020)",,"A bill to designate the airport traffic control tower located at Piedmont Triad International Airport in Greensboro, North Carolina, as the ""Senator Kay Hagan Airport Traffic Control Tower"".","Sen. Burr, Richard [R-NC]",09/30/2020,,,,3,,10/30/2020,"Became Public Law No: 116-193."
"S. 4684",https://www.congress.gov/bill/116th-congress/senate-bill/4684,"116th Congress (2019-2020)",,"A bill to designate the facility of the United States Postal Service located at 440 Arapahoe Street in Thermopolis, Wyoming, as the ""Robert L. Brown Post Office"".","Sen. Enzi, Michael B. [R-WY]",09/24/2020,,,,2,"Senate - Homeland Security and Governmental Affairs",12/30/2020,"Became Public Law No: 116-268."
"S. 4209",https://www.congress.gov/bill/116th-congress/senate-bill/4209,"116th Congress (2019-2020)",,"Protecting Nonprofits from Catastrophic Cash Flow Strain Act of 2020","Sen. Scott, Tim [R-SC]",07/02/2020,,,,26,,08/03/2020,"Became Public Law No: 116-151."
"S. 4148",https://www.congress.gov/bill/116th-congress/senate-bill/4148,"116th Congress (2019-2020)",,"A bill to extend the Chemical Facility Anti-Terrorism Standards Program of the Department of Homeland Security, and for other purposes.","Sen. Johnson, Ron [R-WI]",07/01/2020,,,,5,,07/22/2020,"Became Public Law No: 116-150."
"S. 4126",https://www.congress.gov/bill/116th-congress/senate-bill/4126,"116th Congress (2019-2020)",,"A bill to designate the facility of the United States Postal Service located at 104 East Main Street in Port Washington, Wisconsin, as the ""Joseph G. Demler Post Office"".","Sen. Johnson, Ron [R-WI]",07/01/2020,,,,1,"Senate - Homeland Security and Governmental Affairs",12/30/2020,"Became Public Law No: 116-267."
"S. 4116",https://www.congress.gov/bill/116th-congress/senate-bill/4116,"116th Congress (2019-2020)",,"A bill to extend the authority for commitments for the paycheck protection program and separate amounts authorized for other loans under section 7(a) of the Small Business Act, and for other purposes.","Sen. Cardin, Benjamin L. [D-MD]",06/30/2020,,,,5,,07/04/2020,"Became Public Law No: 116-147."
"S. 4091",https://www.congress.gov/bill/116th-congress/senate-bill/4091,"116th Congress (2019-2020)",,"Emergency Aid for Returning Americans Affected by Coronavirus Act","Sen. Grassley, Chuck [R-IA]",06/29/2020,,,,1,,07/13/2020,"Became Public Law No: 116-148."
"S. 4075",https://www.congress.gov/bill/116th-congress/senate-bill/4075,"116th Congress (2019-2020)",,"RLF Act","Sen. Capito, Shelley Moore [R-WV]",06/25/2020,,,,9,"Senate - Environment and Public Works",10/30/2020,"Became Public Law No: 116-192."
"S. 4072",https://www.congress.gov/bill/116th-congress/senate-bill/4072,"116th Congress (2019-2020)",,"A bill to designate the clinic of the Department of Veterans Affairs in Bend, Oregon, as the ""Robert D. Maxwell Department of Veterans Affairs Clinic"".","Sen. Merkley, Jeff [D-OR]",06/25/2020,,,,1,"Senate - Veterans' Affairs",10/13/2020,"Became Public Law No: 116-169."
"S. 4054",https://www.congress.gov/bill/116th-congress/senate-bill/4054,"116th Congress (2019-2020)",,"United States Grain Standards Reauthorization Act of 2020","Sen. Roberts, Pat [R-KS]",06/24/2020,,,,0,"Senate - Agriculture, Nutrition, and Forestry",12/11/2020,"Became Public Law No: 116-216."
"S. 3989",https://www.congress.gov/bill/116th-congress/senate-bill/3989,"116th Congress (2019-2020)",,"United States Semiquincentennial Commission Amendments Act of 2020","Sen. Toomey, Pat [R-PA]",06/17/2020,,,,1,"Senate - Judiciary",12/31/2020,"Became Public Law No: 116-282."
"S. 3758",https://www.congress.gov/bill/116th-congress/senate-bill/3758,"116th Congress (2019-2020)",,"A bill to amend the Klamath Basin Water Supply Enhancement Act of 2000 to make certain technical corrections.","Sen. Merkley, Jeff [D-OR]",05/19/2020,,,,1,"Senate - Energy and Natural Resources",10/30/2020,"Became Public Law No: 116-191."
"S. 3744",https://www.congress.gov/bill/116th-congress/senate-bill/3744,"116th Congress (2019-2020)",,"Uyghur Human Rights Policy Act of 2020","Sen. Rubio, Marco [R-FL]",05/14/2020,,,,66,,06/17/2020,"Became Public Law No: 116-145."
"S. 3703",https://www.congress.gov/bill/116th-congress/senate-bill/3703,"116th Congress (2019-2020)",,"Promoting Alzheimer's Awareness to Prevent Elder Abuse Act","Sen. Collins, Susan M. [R-ME]",05/12/2020,,,,27,"Senate - Judiciary",12/22/2020,"Became Public Law No: 116-252."
